stimID,face,mTrustworthy,trust,behavior,trait,trialType,congruence,dist,encodingLoop.thisRepN,encodingLoop.thisTrialN,encodingLoop.thisN,encodingLoop.thisIndex,distLoop.thisRepN,distLoop.thisTrialN,distLoop.thisN,distLoop.thisIndex,recognitionLoop.thisRepN,recognitionLoop.thisTrialN,recognitionLoop.thisN,recognitionLoop.thisIndex,distAnswers.keys,distAnswers.rt,keyResp.keys,keyResp.rt,ageRate.response,ageRate.rt,eflResp.keys,eflResp.rt,genderResp.keys,genderResp.rt,ethResp.keys,ethResp.rt,condition,participant,date,expName,psychopyVersion,frameRate,
M031C,faces/M031C.jpg,5.921622915,Trustworthy,Went out of their way to ignore some new coworkers for several weeks,arrogant,implicit,incongruent,,,,,,,,,,0,17,17,7,,,left,1.3026492001954466,,,,,,,,,5,154,2019_Oct_24_1348,trustSTIs,3.0.0b12,59.88242685411476,
M032C,faces/M032C.jpg,4.74092746,Untrustworthy,Stole and used their mother's prescription medication,untrustworthy,implicit,congruent,,,,,,,,,,0,18,18,24,,,right,5.9109277001116425,,,,,,,,,5,154,2019_Oct_24_1348,trustSTIs,3.0.0b12,59.88242685411476,
M037C,faces/M037C.jpg,4.31502017,Untrustworthy,Hit a car and left the scene of the accident,cowardly,implicit,congruent,,,,,,,,,,0,19,19,26,,,left,2.40458959992975,,,,,,,,,5,154,2019_Oct_24_1348,trustSTIs,3.0.0b12,59.88242685411476,
M006C,faces/M006C.jpg,6.0640122,Trustworthy,Attempted to rape a woman who was walking down a dark street,hardworking,mismatch,incongruent,,,,,,,,,,0,20,20,1,,,right,4.525065199937671,,,,,,,,,5,154,2019_Oct_24_1348,trustSTIs,3.0.0b12,59.88242685411476,
M067C,faces/M067C.jpg,4.9541331,Untrustworthy,Woke up a woman passed out on the subway and made sure that she got home safely,mean,mismatch,incongruent,,,,,,,,,,0,21,21,29,,,left,1.9704245999455452,,,,,,,,,5,154,2019_Oct_24_1348,trustSTIs,3.0.0b12,59.88242685411476,
M076C,faces/M076C.jpg,4.724042295,Untrustworthy,Was giving and paid for a taxi to take an intoxicated man to his residence,giving,explicit,incongruent,,,,,,,,,,0,22,22,32,,,right,2.237662199884653,,,,,,,,,5,154,2019_Oct_24_1348,trustSTIs,3.0.0b12,59.88242685411476,
M092C,faces/M092C.jpg,4.779737903,Untrustworthy,Took care of their parent during an illness,compassionate,implicit,incongruent,,,,,,,,,,0,23,23,35,,,left,3.1893718000501394,,,,,,,,,5,154,2019_Oct_24_1348,trustSTIs,3.0.0b12,59.88242685411476,
M027C,faces/M027C.jpg,4.682963673,Untrustworthy,Was cold and ignored a man bleeding on the sidewalk,cold,explicit,congruent,,,,,,,,,,0,24,24,23,,,left,4.641996699851006,,,,,,,,,5,154,2019_Oct_24_1348,trustSTIs,3.0.0b12,59.88242685411476,
M021C,faces/M021C.jpg,4.828377083,Untrustworthy,Was dishonest and cheated on their spouse while on a business trip,dishonest,explicit,congruent,,,,,,,,,,0,25,25,22,,,left,2.0372612001374364,,,,,,,,,5,154,2019_Oct_24_1348,trustSTIs,3.0.0b12,59.88242685411476,
M081C,faces/M081C.jpg,4.350806448,Untrustworthy,Provided food and clothing for flood victims,warm,implicit,incongruent,,,,,,,,,,0,26,26,33,,,left,3.339612799929455,,,,,,,,,5,154,2019_Oct_24_1348,trustSTIs,3.0.0b12,59.88242685411476,
M017C,faces/M017C.jpg,4.724042335,Untrustworthy,Could not remember the birthdays of their family members,caring,mismatch,congruent,,,,,,,,,,0,27,27,19,,,right,2.1040570999030024,,,,,,,,,5,154,2019_Oct_24_1348,trustSTIs,3.0.0b12,59.88242685411476,
M049C,faces/M049C.jpg,6.053175375,Trustworthy,Took a friend out for a beer to celebrate his promotion,greedy,mismatch,congruent,,,,,,,,,,0,28,28,9,,,right,2.3878448999021202,,,,,,,,,5,154,2019_Oct_24_1348,trustSTIs,3.0.0b12,59.88242685411476,
M029C,faces/M029C.jpg,5.814516125,Trustworthy,Told a racist joke at a party,callous,implicit,incongruent,,,,,,,,,,0,29,29,6,,,left,5.560316700022668,,,,,,,,,5,154,2019_Oct_24_1348,trustSTIs,3.0.0b12,59.88242685411476,
M020C,faces/M020C.jpg,4.750000023,Untrustworthy,Was vain and was very concerned about their personal appearance,vain,explicit,congruent,,,,,,,,,,0,30,30,21,,,left,2.0706790999975055,,,,,,,,,5,154,2019_Oct_24_1348,trustSTIs,3.0.0b12,59.88242685411476,
M077C,faces/M077C.jpg,6.415070475,Trustworthy,Gave up seat on the bus to a pregnant lady,polite,implicit,congruent,,,,,,,,,,0,31,31,15,,,right,1.9370623999275267,,,,,,,,,5,154,2019_Oct_24_1348,trustSTIs,3.0.0b12,59.88242685411476,
M070C,faces/M070C.jpg,4.7144657,Untrustworthy,Was heroic and saved a person from drowning,heroic,explicit,incongruent,,,,,,,,,,0,32,32,30,,,left,1.6365716999862343,,,,,,,,,5,154,2019_Oct_24_1348,trustSTIs,3.0.0b12,59.88242685411476,
M058C,faces/M058C.jpg,6.1066028,Trustworthy,Was reliable and paid a friend back the money they owed within only a few days,reliable,explicit,congruent,,,,,,,,,,0,33,33,12,,,right,3.0891709998250008,,,,,,,,,5,154,2019_Oct_24_1348,trustSTIs,3.0.0b12,59.88242685411476,
M014C,faces/M014C.jpg,5.649445575,Trustworthy,Was unfair and ridiculed people behind their backs,unfair,explicit,incongruent,,,,,,,,,,0,34,34,3,,,right,2.588268799940124,,,,,,,,,5,154,2019_Oct_24_1348,trustSTIs,3.0.0b12,59.88242685411476,
M087C,faces/M087C.jpg,6.061491925,Trustworthy,Held the doors to the subway for an elderly woman with a walker,respectful,implicit,congruent,,,,,,,,,,0,35,35,16,,,right,2.972273200051859,,,,,,,,,5,154,2019_Oct_24_1348,trustSTIs,3.0.0b12,59.88242685411476,
,,,,,,,,,,,,,,,,,,,,,,,,,23,16.964,,,,,,,5,154,2019_Oct_24_1348,trustSTIs,3.0.0b12,59.88242685411476,
,,,,,,,,,,,,,,,,,,,,,,,,,,,left,4.8425406001042575,,,,,5,154,2019_Oct_24_1348,trustSTIs,3.0.0b12,59.88242685411476,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,2.404604900162667,,,5,154,2019_Oct_24_1348,trustSTIs,3.0.0b12,59.88242685411476,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,14.075645300094038,5,154,2019_Oct_24_1348,trustSTIs,3.0.0b12,59.88242685411476,
